Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
TCS,3.3,1968.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,607979.0,100001+,IT Services & Consulting,Job security,"Promotions, Salary, Work satisfaction",3.9,3.5,3.2,3.2,3.0,2.5,2.3
Accenture,3.7,1989.0,,,Dublin,Ireland,350000.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.6,3.6,3.7,3.6,3.4,3.3,2.8
Wipro,3.6,1945.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,233346.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.7,3.6,3.6,3.5,3.4,3.0,2.9
Cognizant,3.7,1994.0,,,Teaneck. New Jersey.,United States (USA),241500.0,100001+,IT Services & Consulting,"Promotions, Salary",,3.6,3.6,3.6,3.6,3.4,3.2,2.9
Capgemini,3.6,1967.0,"Mumbai, Maharashtra",India,"Paris, France ",,235000.0,100001+,IT Services & Consulting,"Job security, Work-life balance","Promotions, Salary",3.8,3.8,3.6,3.6,3.4,3.0,2.8
HDFC-Bank,3.8,1994.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,214521.0,100001+,Banking,"Job security, Skill development",Promotions,3.9,3.5,3.6,3.8,3.5,3.4,3.1
Infosys,3.5,1981.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,323578.0,100001+,IT Services & Consulting,,,3.9,3.6,3.6,3.6,3.3,2.7,2.6
HCLTech,3.4,1991.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",,223420.0,100001+,IT Services & Consulting,,,3.6,3.5,3.3,3.2,3.1,2.8,2.5
ICICI-Bank,4.0,1994.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,129177.0,100001+,Banking,"Job security, Skill development, Promotions",,4.0,3.7,3.7,3.8,3.6,3.7,3.8
Tech-Mahindra,3.4,1986.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,119343.0,100001+,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.3,3.4,3.2,3.3,3.1,2.9,2.7
Genpact,3.6,1997.0,,,"New York, New York",United States (USA),82262.0,100001+,Analytics & KPO,Job security,"Promotions, Salary",3.9,3.6,3.5,3.5,3.4,3.0,2.9
TP,3.8,1978.0,"Gurgaon / Gurugram, Haryana",India,Paris,France,90001.0,100001+,BPO,"Job security, Work-life balance",,3.8,3.8,3.7,3.7,3.7,3.7,3.5
Jio,4.4,2018.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,90067.0,100001+,Telecom,"Job security, Skill development, Company culture",,4.4,4.3,4.3,4.4,4.3,4.3,4.1
Axis-Bank,3.6,1993.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,104453.0,50001-100000,Banking,"Promotions, Work satisfaction",,3.5,3.4,3.4,3.6,3.3,3.5,3.2
Concentrix-Corporation,3.6,1983.0,"Gurgaon/Gurugram, Haryana",India,"Fremont, California",United States (USA),80000.0,50001-100000,BPO,Job security,"Promotions, Salary, Work satisfaction",3.9,3.4,3.5,3.3,3.3,3.1,2.8
Amazon,3.9,1994.0,"Hyderabad / Secunderabad, Telangana",India,"Seattle,Washington",United States,120000.0,100001+,Internet,"Company culture, Salary, Work-life balance",Promotions,3.5,3.8,4.0,3.6,3.6,3.8,3.2
Reliance-Retail,3.9,2006.0,"Ghansoli, Navi Mumbai",India,"Ghansoli, Navi Mumbai",,161665.0,100001+,Retail,,,3.9,3.8,3.7,3.9,3.6,3.6,3.2
iEnergizer,4.6,2000.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,22676.0,100001+,BPO,,,4.5,4.5,4.5,4.5,4.5,4.6,4.4
LTIMindtree,3.6,1997.0,"Mumbai, India",India,,India,73801.0,50001-100000,IT Services & Consulting,"Promotions, Salary",,3.5,3.7,3.5,3.6,3.4,3.2,2.8
IBM,3.9,1911.0,"Bangalore / Bengaluru, Karnataka",India,"Armonk,New York",United States,130000.0,100001+,IT Services & Consulting,"Work-life balance, Company culture, Job security",Promotions,3.9,4.0,3.9,3.9,3.7,3.5,3.1
HDB-Financial-Services,3.9,2007.0,"Ahmedabad, Gujrat",India,"Ahmedabad, Gujrat",India,89943.0,100001+,NBFC,"Job security, Work-life balance, Skill development",Promotions,3.8,3.8,3.7,3.8,3.6,3.4,3.3
Larsen-&-Toubro-Limited,3.9,1938.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,58556.0,50001-100000,Engineering & Construction,"Job security, Skill development, Salary",Promotions,4.0,3.4,3.6,3.9,3.6,3.8,3.3
Deloitte,3.7,1845.0,,,"Hyderabad, India",,120000.0,100001+,Management Consulting,"Promotions, Work-life balance, Work satisfaction",,3.7,3.2,3.6,3.7,3.3,3.6,3.1
Kotak-Mahindra-Bank,3.6,1985.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,61170.0,100001+,Banking,,,3.6,3.5,3.4,3.5,3.3,3.4,3.1
Reliance-Industries,4.0,1977.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,403303.0,100001+,Oil & Gas,"Job security, Work-life balance, Skill development",Promotions,4.1,3.9,3.8,3.9,3.7,3.6,3.3
Vodafone-Idea,3.9,2018.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,9787.0,10001-50000,Telecom,"Salary, Company culture, Work-life balance",Promotions,3.7,3.8,3.8,3.7,3.6,3.9,3.3
Bharti-Airtel,3.8,1952.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",,13593.0,,Telecom,Promotions,,3.6,3.6,3.6,3.7,3.5,3.7,3.2
BYJU'S,3.2,2011.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,7000.0,5001-10000,EdTech,"Job security, Work satisfaction, Work-life balance",,2.4,2.8,2.8,3.1,2.8,3.5,2.9
WNS,3.3,1996.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,44000.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.5,3.3,3.1,3.0,3.0,2.9,2.6
IDFC-FIRST-Bank,3.9,2018.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,41192.0,10001-50000,Banking,,,3.7,3.7,3.7,3.8,3.6,3.9,3.5
Ernst-&-Young,3.4,2002.0,,,London,England,44000.0,100001+,Management Consulting,"Promotions, Work satisfaction, Work-life balance",,3.6,3.0,3.1,3.5,3.0,3.2,2.9
IndusInd-Bank,3.4,1994.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,44974.0,10001-50000,Banking,,,3.4,3.4,3.1,3.2,3.2,3.3,3.0
AU-Small-Finance-Bank,3.8,1996.0,"Jaipur, Rajasthan",India,"Jaipur, Rajasthan",India,50946.0,10001-50000,Banking,Salary,,3.7,3.7,3.6,3.7,3.6,3.8,3.5
Tata-Motors,4.1,1945.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,20819.0,50001-100000,Automobile,"Job security, Company culture, Work-life balance",,4.1,4.0,4.0,4.0,3.9,3.8,3.4
Muthoot-FinCorp,4.6,1887.0,"Trivandrum/Thiruvananthapuram, Kerala",India,"Trivandrum/Thiruvananthapuram, Kerala",India,26638.0,10001-50000,NBFC,,,4.4,4.4,4.5,4.5,4.3,4.1,4.1
Bajaj-Finserv,4.0,2007.0,"Pune,Maharashtra",India,"Pune,Maharashtra",India,104668.0,10001-50000,NBFC,"Salary, Skill development, Job security",,3.8,3.6,3.6,3.9,3.7,4.0,3.6
Flipkart,3.9,2007.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,22000.0,10001-50000,Internet,"Salary, Skill development",Promotions,3.7,3.7,3.7,3.8,3.6,3.8,3.3
